Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
337	0.4	30.73	4	1	1	0.132160161	0.618672399
338	0.06	8.07	3	1	1	0.43083829	0.708394762
339	0.3	28.39	2	1	1	0.141892812	0.907189186
340	0.07	0.19	1	1	1	0.409874178	0.731755253
341	0.85	0.12	5	1	1	0.167132703	0.908837361
342	0.02	28.06	4	1	1	0.385092541	0.742032805
343	0.02	32.32	3	1	1	0.376763331	0.748357562
344	0.04	20.06	2	1	1	0.233119458	0.856174842
345	0.07	12.29	1	1	1	0.155616695	0.905825717
346	0.17	10.72	5	1	1	0.192727708	0.863590633
347	0.52	2.09	4	1	1	0.098138068	0.906806214
348	0.14	23.69	3	1	1	0.183936754	0.886717424
349	0.16	30.74	2	1	1	0.168833751	0.894289075
350	0.01	4.79	1	1	1	0.765263346	0.355711021
351	0.15	8.34	5	1	1	0.143667685	0.89491871
352	0.28	5.71	4	1	1	0.115475804	0.901597161
353	0.28	14.5	3	1	1	0.110223539	0.901175904
354	0.22	22.85	2	1	1	0.12229407	0.913443084
355	0.07	39.17	1	1	1	0.301883616	0.815858952
356	0.23	3.89	5	1	1	0.202477576	0.840880389
357	0.4	10.28	4	1	1	0.131843431	0.887977811
358	0.24	24.81	3	1	1	0.169826142	0.896401653
359	0.12	39.92	2	1	1	0.314575837	0.805557041
360	0.01	107.05	1	1	1	0.851393975	0.242860195
361	0.31	3.6	5	1	1	0.110160358	0.876134149
362	0.26	7.45	4	1	1	0.098564239	0.908411923
363	0.18	16.08	3	1	1	0.103935185	0.921844276
364	0.08	28.24	2	1	1	0.171166247	0.89945466
365	0.17	31.75	1	1	1	0.108580161	0.922140782
366	0.49	23.1	5	1	1	0.099791972	0.901590385
367	0.24	18.41	4	1	1	0.114771457	0.92186485
368	0.12	6.21	3	1	1	0.194219415	0.883579785
369	0.08	22.72	2	1	1	0.265368349	0.835899906
370	0.07	11.57	1	1	1	0.294396053	0.813263207
371	0.23	16.01	5	1	1	0.137323391	0.879350744
372	0.18	21.82	4	1	1	0.130535202	0.909332295
373	0.16	25.69	3	1	1	0.147594017	0.908427379
374	0.08	18.44	2	1	1	0.265321465	0.840721271
375	0.35	28.73	1	1	1	0.094631318	0.927436192
376	0.25	11.51	5	1	1	0.102887439	0.907777033
377	0.34	23.94	4	1	1	0.080436047	0.929241072
378	0.16	19.49	3	1	1	0.109429597	0.929670644
379	0.04	34.62	2	1	1	0.315211049	0.804859587
380	0.21	22.52	1	1	1	0.092451783	0.93462068
381	0.23	19.61	5	1	1	0.18176932	0.858109086
382	0.1	24.88	4	1	1	0.267014544	0.826895703
383	0.04	7.87	3	1	1	0.483036804	0.662058743
384	0.24	20.9	2	1	1	0.150728496	0.891402642
385	0.39	14.5	1	1	1	0.114979443	0.916617813
386	0.11	15.75	5	1	1	0.141317307	0.915861007
387	0.32	32.66	4	1	1	0.077271974	0.938910109
388	0.2	24.68	3	1	1	0.10146178	0.933688363
389	0.24	16.77	2	1	1	0.101660399	0.931406243
390	0.13	8.27	1	1	1	0.144566605	0.912972865
391	0.23	12.12	5	1	1	0.100493272	0.907179623
392	0.18	33.39	4	1	1	0.098712203	0.922895388
393	0.04	42.14	3	1	1	0.301910923	0.810457046
394	0.44	21.67	2	1	1	0.071452581	0.937920029
395	0.11	1.9	1	1	1	0.136791625	0.92124068
396	0.11	10.39	5	1	1	0.295747641	0.783948167
397	0.14	17.73	4	1	1	0.229029736	0.831206984
398	0.12	22.37	3	1	1	0.23610439	0.85215115
399	0.1	30.58	2	1	1	0.271036191	0.83276648
400	0.53	34.9	1	1	1	0.107790249	0.912650919
401	0.07	15.2	5	1	1	0.436881655	0.67600017
402	0.18	25.25	4	1	1	0.207342719	0.826812677
403	0.04	20.23	3	1	1	0.483568409	0.652238654
404	0.16	25.74	2	1	1	0.193590534	0.873821313
405	0.55	16.29	1	1	1	0.103472283	0.919216316
406	0.33	27.36	5	1	1	0.112197094	0.883183796
407	0.14	23.85	4	1	1	0.150348925	0.904125326
408	0.2	16.01	3	1	1	0.120241691	0.917123253
409	0.04	26.39	2	1	1	0.396642715	0.741882775
410	0.29	13.83	1	1	1	0.101660657	0.921193702
411	0.61	24.17	5	1	1	0.100082649	0.882019406
412	0.04	58.44	4	1	1	0.382804115	0.742120837
413	0.06	14.74	3	1	1	0.294132214	0.821767383
414	0.06	34.87	2	1	1	0.298293567	0.813157965
415	0.23	12.63	1	1	1	0.11095027	0.924407787
416	0.25	23.47	5	1	1	0.191113477	0.848124943
417	0.14	57.27	4	1	1	0.232301381	0.848570981
