discharge [m?/s]									
YYYY	MM	DD	HH	480	0	0	0	0	0
YYYY	MM	DD	HH	284792	0	0	0	0	0
YYYY	MM	DD	HH	4674623	0	0	0	0	0
YYYY	MM	DD	HH	Capella	Cabecera	Carrasquero	Ceguera	Villacarli	Lascuarre
2009	7	5	0	3.01	-9999	-9999	-9999	-9999	-9999
2009	7	6	0	1.91	-9999	-9999	-9999	-9999	-9999
2009	7	7	0	16.69	-9999	-9999	-9999	-9999	-9999
2009	7	8	0	4.31	-9999	-9999	-9999	-9999	-9999
2009	7	9	0	2.51	-9999	-9999	-9999	-9999	-9999
2009	7	10	0	2.09	-9999	-9999	-9999	-9999	-9999
2009	7	11	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	7	12	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	7	13	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	7	14	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	7	15	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	7	16	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	7	17	0	1.88	-9999	-9999	-9999	-9999	-9999
2009	7	18	0	1.79	-9999	-9999	-9999	-9999	-9999
2009	7	19	0	1.79	-9999	-9999	-9999	-9999	-9999
2009	7	20	0	1.79	-9999	-9999	-9999	-9999	-9999
2009	7	21	0	1.79	-9999	-9999	-9999	-9999	-9999
2009	7	22	0	1.79	-9999	-9999	-9999	-9999	-9999
2009	7	23	0	1.79	-9999	-9999	-9999	-9999	-9999
2009	7	24	0	1.79	-9999	-9999	-9999	-9999	-9999
2009	7	25	0	1.72	-9999	-9999	-9999	-9999	-9999
2009	7	26	0	1.65	-9999	-9999	-9999	-9999	-9999
2009	7	27	0	1.65	-9999	-9999	-9999	-9999	-9999
2009	7	28	0	1.65	-9999	-9999	-9999	-9999	-9999
2009	7	29	0	1.65	-9999	-9999	-9999	-9999	-9999
2009	7	30	0	1.65	-9999	-9999	-9999	-9999	-9999
2009	7	31	0	1.65	-9999	-9999	-9999	-9999	-9999
2009	8	1	0	1.83	-9999	-9999	-9999	-9999	-9999
2009	8	2	0	2.02	-9999	-9999	-9999	-9999	-9999
2009	8	3	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	8	4	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	8	5	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	8	6	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	8	7	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	8	8	0	1.94	-9999	-9999	-9999	-9999	-9999
2009	8	9	0	1.99	-9999	-9999	-9999	-9999	-9999
2009	8	10	0	1.78	-9999	-9999	-9999	-9999	-9999
2009	8	11	0	1.75	-9999	-9999	-9999	-9999	-9999
2009	8	12	0	1.49	-9999	-9999	-9999	-9999	-9999
2009	8	13	0	1.23	-9999	-9999	-9999	-9999	-9999
2009	8	14	0	1.02	-9999	-9999	-9999	-9999	-9999
2009	8	15	0	0.84	-9999	-9999	-9999	-9999	-9999
2009	8	16	0	0.69	-9999	-9999	-9999	-9999	-9999
2009	8	17	0	0.57	-9999	-9999	-9999	-9999	-9999
2009	8	18	0	0.5	-9999	-9999	-9999	-9999	-9999
2009	8	19	0	0.46	-9999	-9999	-9999	-9999	-9999
2009	8	20	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	8	21	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	8	22	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	8	23	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	8	24	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	8	25	0	0.46	-9999	-9999	-9999	-9999	-9999
2009	8	26	0	0.46	-9999	-9999	-9999	-9999	-9999
2009	8	27	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	8	28	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	8	29	0	0.49	-9999	-9999	-9999	-9999	-9999
2009	8	30	0	0.44	-9999	-9999	-9999	-9999	-9999
2009	8	31	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	9	1	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	9	2	0	0.99	-9999	-9999	-9999	-9999	-9999
2009	9	3	0	0.54	-9999	-9999	-9999	-9999	-9999
2009	9	4	0	0.45	-9999	-9999	-9999	-9999	-9999
2009	9	5	0	0.42	-9999	-9999	-9999	-9999	-9999
2009	9	6	0	0.38	-9999	-9999	-9999	-9999	-9999
2009	9	7	0	0.38	-9999	-9999	-9999	-9999	-9999
2009	9	8	0	0.38	-9999	-9999	-9999	-9999	-9999
2009	9	9	0	0.38	-9999	-9999	-9999	-9999	-9999
2009	9	10	0	0.37	-9999	-9999	-9999	-9999	-9999
2009	9	11	0	1.75	-9999	-9999	-9999	-9999	-9999
2009	9	12	0	0.78	-9999	-9999	-9999	-9999	-9999
2009	9	13	0	0.58	-9999	-9999	-9999	-9999	-9999
2009	9	14	0	0.92	-9999	-9999	-9999	-9999	-9999
2009	9	15	0	0.61	-9999	-9999	-9999	-9999	-9999
2009	9	16	0	0.51	-9999	-9999	-9999	-9999	-9999
2009	9	17	0	0.47	-9999	-9999	-9999	-9999	-9999
2009	9	18	0	1.9	-9999	-9999	-9999	-9999	-9999
2009	9	19	0	1.37	-9999	-9999	-9999	-9999	-9999
2009	9	20	0	0.78	-9999	-9999	-9999	-9999	-9999
2009	9	21	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	9	22	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	9	23	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	9	24	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	9	25	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	9	26	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	9	27	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	9	28	0	0.66	-9999	-9999	-9999	-9999	-9999
2009	9	29	0	0.63	-9999	-9999	-9999	-9999	-9999
2009	9	30	0	0.63	-9999	-9999	-9999	-9999	-9999
2009	10	1	0	0.54	-9999	-9999	-9999	-9999	-9999
2009	10	2	0	0.45	-9999	-9999	-9999	-9999	-9999
2009	10	3	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	4	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	5	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	6	0	0.38	-9999	-9999	-9999	-9999	-9999
2009	10	7	0	0.38	-9999	-9999	-9999	-9999	-9999
2009	10	8	0	0.54	-9999	-9999	-9999	-9999	-9999
2009	10	9	0	0.5	-9999	-9999	-9999	-9999	-9999
2009	10	10	0	0.49	-9999	-9999	-9999	-9999	-9999
2009	10	11	0	0.48	-9999	-9999	-9999	-9999	-9999
2009	10	12	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	13	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	14	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	15	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	16	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	17	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	18	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	19	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	20	0	0.43	-9999	-9999	-9999	-9999	-9999
2009	10	21	0	5.31	-9999	-9999	-9999	-9999	-9999
2009	10	22	0	6.41	-9999	-9999	-9999	-9999	-9999
2009	10	23	0	4.7	-9999	-9999	-9999	-9999	-9999
2009	10	24	0	2.46	-9999	-9999	-9999	-9999	-9999
2009	10	25	0	1.91	-9999	-9999	-9999	-9999	-9999
2009	10	26	0	1.52	-9999	-9999	-9999	-9999	-9999
2009	10	27	0	1.24	-9999	-9999	-9999	-9999	-9999
2009	10	28	0	1.08	-9999	-9999	-9999	-9999	-9999
2009	10	29	0	0.95	-9999	-9999	-9999	-9999	-9999
2009	10	30	0	0.86	-9999	-9999	-9999	-9999	-9999
2009	10	31	0	0.78	-9999	-9999	-9999	-9999	-9999
2009	11	1	0	0.78	-9999	-9999	-9999	-9999	-9999
2009	11	2	0	1.04	-9999	-9999	-9999	-9999	-9999
2009	11	3	0	0.81	-9999	-9999	-9999	-9999	-9999
2009	11	4	0	0.72	-9999	-9999	-9999	-9999	-9999
2009	11	5	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	11	6	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	11	7	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	11	8	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	11	9	0	0.91	-9999	-9999	-9999	-9999	-9999
2009	11	10	0	0.75	-9999	-9999	-9999	-9999	-9999
2009	11	11	0	0.75	-9999	-9999	-9999	-9999	-9999
2009	11	12	0	0.82	-9999	-9999	-9999	-9999	-9999
2009	11	13	0	0.91	-9999	-9999	-9999	-9999	-9999
2009	11	14	0	0.96	-9999	-9999	-9999	-9999	-9999
2009	11	15	0	0.96	-9999	-9999	-9999	-9999	-9999
2009	11	16	0	0.96	-9999	-9999	-9999	-9999	-9999
2009	11	17	0	0.97	-9999	-9999	-9999	-9999	-9999
2009	11	18	0	1.04	-9999	-9999	-9999	-9999	-9999
2009	11	19	0	0.97	-9999	-9999	-9999	-9999	-9999
2009	11	20	0	0.9	-9999	-9999	-9999	-9999	-9999
2009	11	21	0	0.87	-9999	-9999	-9999	-9999	-9999
2009	11	22	0	0.78	-9999	-9999	-9999	-9999	-9999
2009	11	23	0	0.78	-9999	-9999	-9999	-9999	-9999
2009	11	24	0	0.72	-9999	-9999	-9999	-9999	-9999
2009	11	25	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	11	26	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	11	27	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	11	28	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	11	29	0	0.8	-9999	-9999	-9999	-9999	-9999
2009	11	30	0	0.96	-9999	-9999	-9999	-9999	-9999
2009	12	1	0	0.76	-9999	-9999	-9999	-9999	-9999
2009	12	2	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	12	3	0	0.77	-9999	-9999	-9999	-9999	-9999
2009	12	4	0	0.81	-9999	-9999	-9999	-9999	-9999
2009	12	5	0	0.85	-9999	-9999	-9999	-9999	-9999
2009	12	6	0	0.78	-9999	-9999	-9999	-9999	-9999
2009	12	7	0	0.78	-9999	-9999	-9999	-9999	-9999
2009	12	8	0	0.87	-9999	-9999	-9999	-9999	-9999
2009	12	9	0	0.93	-9999	-9999	-9999	-9999	-9999
2009	12	10	0	0.87	-9999	-9999	-9999	-9999	-9999
2009	12	11	0	0.85	-9999	-9999	-9999	-9999	-9999
2009	12	12	0	0.78	-9999	-9999	-9999	-9999	-9999
2009	12	13	0	0.76	-9999	-9999	-9999	-9999	-9999
2009	12	14	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	12	15	0	0.7	-9999	-9999	-9999	-9999	-9999
2009	12	16	0	0.66	-9999	-9999	-9999	-9999	-9999
2009	12	17	0	0.63	-9999	-9999	-9999	-9999	-9999
2009	12	18	0	0.63	-9999	-9999	-9999	-9999	-9999
2009	12	19	0	0.63	-9999	-9999	-9999	-9999	-9999
2009	12	20	0	0.56	-9999	-9999	-9999	-9999	-9999
2009	12	21	0	0.58	-9999	-9999	-9999	-9999	-9999
2009	12	22	0	3.1	-9999	-9999	-9999	-9999	-9999
2009	12	23	0	10.49	-9999	-9999	-9999	-9999	-9999
2009	12	24	0	45.69	-9999	-9999	-9999	-9999	-9999
2009	12	25	0	38.49	-9999	-9999	-9999	-9999	-9999
2009	12	26	0	16.76	-9999	-9999	-9999	-9999	-9999
2009	12	27	0	12.25	-9999	-9999	-9999	-9999	-9999
2009	12	28	0	9.74	-9999	-9999	-9999	-9999	-9999
2009	12	29	0	14.56	-9999	-9999	-9999	-9999	-9999
2009	12	30	0	34.93	-9999	-9999	-9999	-9999	-9999
2009	12	31	0	29.2	-9999	-9999	-9999	-9999	-9999
2010	1	1	0	23.87	-9999	-9999	-9999	-9999	-9999
2010	1	2	0	15.56	-9999	-9999	-9999	-9999	-9999
2010	1	3	0	12.29	-9999	-9999	-9999	-9999	-9999
2010	1	4	0	10.51	-9999	-9999	-9999	-9999	-9999
2010	1	5	0	9.39	-9999	-9999	-9999	-9999	-9999
2010	1	6	0	8.19	-9999	-9999	-9999	-9999	-9999
2010	1	7	0	7.03	-9999	-9999	-9999	-9999	-9999
2010	1	8	0	6.15	-9999	-9999	-9999	-9999	-9999
2010	1	9	0	5.06	-9999	-9999	-9999	-9999	-9999
2010	1	10	0	4.42	-9999	-9999	-9999	-9999	-9999
2010	1	11	0	4.35	-9999	-9999	-9999	-9999	-9999
2010	1	12	0	4.21	-9999	-9999	-9999	-9999	-9999
2010	1	13	0	4.47	-9999	-9999	-9999	-9999	-9999
2010	1	14	0	14.82	-9999	-9999	-9999	-9999	-9999
2010	1	15	0	10.1	-9999	-9999	-9999	-9999	-9999
2010	1	16	0	7.35	-9999	-9999	-9999	-9999	-9999
2010	1	17	0	6.84	-9999	-9999	-9999	-9999	-9999
2010	1	18	0	7.01	-9999	-9999	-9999	-9999	-9999
2010	1	19	0	6.9	-9999	-9999	-9999	-9999	-9999
2010	1	20	0	6.54	-9999	-9999	-9999	-9999	-9999
2010	1	21	0	6.15	-9999	-9999	-9999	-9999	-9999
2010	1	22	0	5.56	-9999	-9999	-9999	-9999	-9999
2010	1	23	0	5.08	-9999	-9999	-9999	-9999	-9999
2010	1	24	0	4.69	-9999	-9999	-9999	-9999	-9999
2010	1	25	0	4.32	-9999	-9999	-9999	-9999	-9999
2010	1	26	0	4.32	-9999	-9999	-9999	-9999	-9999
2010	1	27	0	4.32	-9999	-9999	-9999	-9999	-9999
2010	1	28	0	4.15	-9999	-9999	-9999	-9999	-9999
2010	1	29	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	1	30	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	1	31	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	1	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	2	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	3	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	4	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	5	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	6	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	7	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	8	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	9	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	10	0	4.08	-9999	-9999	-9999	-9999	-9999
2010	2	11	0	4.08	-9999	-9999	-9999	-9999	-9999
