Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
339	0.04	61.43	2	1	1	0.56773308	0.577424864
338	0.06	44.08	3	1	1	0.701095423	0.468186147
337	0.24	29.68	4	1	1	0.902359116	0.163524929
336	0.45	9.18	5	1	1	0.866209032	0.148586499
345	0.03	42.21	1	1	1	0.683542688	0.470494622
344	0.12	7.1	2	1	1	0.90906996	0.162695065
343	0.06	25.05	3	1	1	0.828383422	0.27107646
342	0.54	41.89	4	1	1	0.920610387	0.074643505
341	0.25	3.74	5	1	1	0.879435954	0.130986681
350	0.25	45.2	1	1	1	0.926570756	0.134057019
349	0.08	74.82	2	1	1	0.790742668	0.336198166
348	0.42	54.86	3	1	1	0.921319117	0.093905114
347	0.08	34.1	4	1	1	0.806033377	0.259070246
346	0.17	7.05	5	1	1	0.877244767	0.19626068
355	0.39	6.62	1	1	1	0.933228001	0.072632658
354	0.06	10.63	2	1	1	0.887175534	0.180518352
353	0.04	4.5	3	1	1	0.851986859	0.238662159
352	0.48	9.38	4	1	1	0.897554358	0.091307741
351	0.03	10.72	5	1	1	0.833967784	0.263273483
360	0.11	27.68	1	1	1	0.88085707	0.202206425
359	0.18	39.58	2	1	1	0.916125508	0.135389464
358	0.34	33.49	3	1	1	0.922486036	0.098891674
357	0.24	25.78	4	1	1	0.897864602	0.115734354
356	0.13	11.34	5	1	1	0.860652456	0.182373734
365	0.052083333	51.76	1	1	1	0.643591255	0.517081544
364	0.229166667	30.17	2	1	1	0.890860424	0.183806552
362	0.458333333	47.91	4	1	1	0.909109425	0.112323804
361	0.260416667	26.79	5	1	1	0.858412861	0.174074861
370	0.01	1.43	1	1	1	0.356435221	0.762557374
369	0.7	36.51	2	1	1	0.919481378	0.082017455
368	0.12	28.11	3	1	1	0.891788922	0.158413189
367	0.12	15.72	4	1	1	0.840745072	0.201611687
366	0.05	5.48	5	1	1	0.7469602	0.342277367
375	0.43	16.01	1	1	1	0.926522235	0.110887853
374	0.34	28.51	2	1	1	0.902153451	0.129871822
373	0.1	16.55	3	1	1	0.824230892	0.276663816
