discharge
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
2011	01	14	06	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	07	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	08	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	09	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	10	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	11	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	12	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	13	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	14	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	15	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	16	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	17	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	18	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	19	-9999	3.391	-9999	-9999	-9999	-9999
2011	01	14	20	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	14	21	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	14	22	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	14	23	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	00	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	01	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	02	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	03	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	04	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	05	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	06	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	07	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	08	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	09	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	10	-9999	3.181	-9999	-9999	-9999	-9999
