Specification of which SVCs are contained in each TC
TC-ID[-]	SVC-ID[-]	fraction[-]
37	77216	0.042
37	1109912	0.038
37	83218	0.038
37	129110	0.03
37	1120818	0.02
37	120316	0.019
37	84618	0.017
37	1120809	0.013
37	120818	0.011
37	109912	0.005
38	120318	0.252
38	77218	0.188
38	129118	0.127
38	83218	0.088
38	129110	0.065
38	120303	0.046
38	120818	0.041
38	76718	0.037
38	77216	0.03
38	1109918	0.021
38	84616	0.02
38	1109912	0.016
38	84618	0.014
38	109918	0.007
38	120317	0.005
39	120318	0.253
39	77218	0.182
39	129118	0.116
39	83218	0.096
39	129110	0.076
39	109918	0.043
39	120303	0.037
39	120818	0.034
39	84618	0.024
39	76718	0.024
39	77216	0.021
39	120317	0.016
39	120817	0.01
40	120318	0.244
40	77218	0.194
40	129118	0.159
40	83218	0.107
40	129110	0.044
40	120303	0.042
40	109918	0.035
40	120818	0.024
40	120810	0.023
40	120817	0.016
40	76718	0.015
40	84618	0.015
40	106918	0.009
41	77218	0.278
41	120318	0.242
41	84618	0.111
41	120303	0.087
41	1116503	0.056
41	106918	0.056
41	77217	0.056
41	127021	0.016
41	120321	0.007
42	120318	0.316
42	77218	0.299
42	120303	0.108
42	84618	0.09
42	106918	0.056
42	77217	0.056
42	1116503	0.032
42	116503	0.024
43	120318	0.271
43	77218	0.244
43	120818	0.107
43	120303	0.045
43	116503	0.036
43	84618	0.028
43	77217	0.026
43	120316	0.025
43	116518	0.02
43	120803	0.017
43	120817	0.016
43	83218	0.016
43	77216	0.012
43	120816	0.009
43	106918	0.008
44	120818	0.172
44	120316	0.112
44	120318	0.068
44	77218	0.067
44	120817	0.062
44	120816	0.048
44	116518	0.036
44	120303	0.024
44	106918	0.021
44	77210	0.008
44	120810	0.008
45	120817	0.144
45	120316	0.111
45	120818	0.087
45	120318	0.056
45	106918	0.056
45	77218	0.054
45	120816	0.04
45	120303	0.029
45	106916	0.016
45	120803	0.009
45	120810	0.008
45	77210	0.006
46	120318	0.178
46	77213	0.166
46	120303	0.155
46	77218	0.11
46	77210	0.078
46	120310	0.06
46	77221	0.048
46	116503	0.039
46	1116503	0.032
46	120316	0.022
46	77209	0.018
47	120303	0.182
47	77213	0.156
47	120318	0.15
47	77217	0.069
47	116503	0.063
47	120317	0.06
47	77218	0.03
47	120316	0.028
47	77209	0.026
47	120817	0.017
47	120310	0.01
48	120303	0.2
48	120317	0.144
48	77213	0.117
48	77217	0.109
48	116503	0.068
48	120817	0.05
48	120318	0.037
48	120316	0.034
48	77218	0.019
48	77210	0.007
49	120317	0.167
49	120303	0.166
49	77217	0.074
49	116503	0.072
49	77213	0.069
49	120817	0.047
49	120318	0.031
49	116518	0.027
49	76718	0.026
49	77210	0.026
49	77218	0.019
49	120818	0.017
49	120316	0.016
49	1077210	0.011
49	120803	0.008
50	120317	0.165
50	120303	0.154
50	77217	0.106
50	120817	0.049
50	76710	0.046
50	120318	0.045
50	77213	0.038
50	120818	0.037
50	116503	0.035
50	116518	0.03
50	77216	0.02
50	120803	0.018
50	76718	0.013
50	77210	0.011
51	109912	0.191
51	76709	0.152
51	120303	0.148
51	1116503	0.117
51	129113	0.067
51	129116	0.066
51	129118	0.058
51	120317	0.044
51	120817	0.041
51	1116509	0.026
51	116518	0.025
51	116503	0.021
51	77209	0.006
52	109912	0.176
52	120303	0.159
52	116503	0.146
52	76709	0.138
52	129113	0.117
52	120817	0.093
52	129116	0.043
52	1116503	0.037
52	77213	0.036
52	129118	0.026
52	76713	0.012
52	109918	0.01
52	120316	0.007
53	109912	0.159
53	120303	0.15
53	129113	0.149
53	116503	0.143
53	76709	0.097
53	120817	0.092
53	77209	0.04
53	77213	0.032
53	129116	0.027
53	109918	0.026
53	1116503	0.022
53	120316	0.022
53	76713	0.016
53	106903	0.01
53	1106903	0.008
53	129118	0.008
54	129113	0.176
54	120303	0.154
54	116503	0.092
54	120817	0.092
54	77213	0.077
54	77209	0.077
54	109912	0.064
54	109918	0.063
54	1106903	0.054
54	1109918	0.041
54	106903	0.038
54	76713	0.024
54	120316	0.015
54	120803	0.013
54	1106918	0.01
54	129118	0.007
54	76709	0.006
55	129113	0.182
55	120303	0.142
55	77213	0.14
55	120817	0.091
55	109918	0.084
55	116503	0.082
55	106903	0.069
55	106918	0.049
55	120803	0.04
55	77209	0.029
55	109912	0.028
55	106917	0.022
55	1109918	0.012
55	1106918	0.01
55	116518	0.008
55	77216	0.008
55	76713	0.005
56	120318	0.351
56	77210	0.176
56	120303	0.121
56	77213	0.104
56	77216	0.072
56	5050	0.066
56	109916	0.06
56	109918	0.051
57	77216	0.195
57	120318	0.194
57	120303	0.167
57	120316	0.139
57	77210	0.138
57	109916	0.094
57	1109916	0.073
58	120316	0.368
58	77216	0.32
58	109918	0.078
58	120318	0.072
58	109916	0.068
58	120303	0.06
58	1109916	0.021
58	77217	0.013
59	120316	0.44
59	77216	0.305
59	109918	0.121
59	109916	0.046
59	120318	0.037
59	120303	0.023
59	77217	0.017
59	77210	0.011
60	120316	0.366
60	77216	0.311
60	109916	0.122
60	120303	0.088
60	109918	0.045
60	120318	0.021
60	120816	0.014
60	77217	0.013
60	120818	0.012
60	77210	0.008
61	84618	0.344
61	129118	0.139
61	77218	0.111
61	120318	0.095
61	102118	0.051
61	129116	0.045
61	120303	0.037
61	1120818	0.028
61	129121	0.028
61	120321	0.024
61	1120809	0.015
61	127021	0.012
61	106918	0.011
61	102113	0.009
61	77216	0.007
61	129103	0.006
61	106913	0.005
62	84618	0.29
62	129118	0.256
62	77218	0.134
62	120318	0.081
62	102118	0.069
62	129116	0.048
62	1120818	0.038
62	120818	0.036
62	77216	0.021
62	102113	0.008
63	129118	0.272
63	84618	0.245
63	120318	0.151
63	77218	0.102
63	102118	0.078
63	129116	0.037
64	129118	0.276
64	120318	0.154
64	84618	0.149
64	77218	0.093
64	102118	0.058
64	83218	0.02
64	102116	0.018
64	129116	0.016
64	129113	0.015
64	77210	0.008
65	129118	0.242
65	120318	0.154
65	102116	0.077
65	77218	0.073
65	84618	0.068
65	129113	0.056
65	83218	0.044
65	129116	0.011
66	77210	0.438
66	77216	0.184
66	1090010	0.071
66	1106903	0.056
66	77218	0.047
66	5050	0.041
66	1090016	0.034
66	120316	0.029
66	1120803	0.028
66	120803	0.028
66	120321	0.023
66	90018	0.014
66	90016	0.007
67	77216	0.339
67	77210	0.294
67	1090010	0.057
67	1106903	0.056
67	120803	0.056
67	90018	0.056
67	120316	0.055
67	90010	0.029
67	77218	0.023
67	90016	0.018
67	77209	0.011
67	1090016	0.007
68	77216	0.539
68	77210	0.137
68	120316	0.056
68	120816	0.045
68	109918	0.042
68	1106903	0.04
68	1090016	0.033
68	90010	0.028
68	90016	0.026
68	1090010	0.016
68	90018	0.015
68	1106916	0.012
68	120803	0.01
70	77216	0.611
70	120316	0.068
70	1090016	0.05
70	77218	0.041
70	120816	0.04
70	116516	0.04
70	1109916	0.029
70	84618	0.029
70	106916	0.021
70	77210	0.016
70	1109918	0.013
70	84616	0.01
70	109916	0.006
70	90016	0.006
71	106903	0.523
71	1106909	0.239
71	1106903	0.128
71	1116503	0.11
72	106903	0.426
72	1106903	0.38
72	106918	0.12
72	1106918	0.031
72	1106909	0.024
72	106917	0.019
73	106903	0.406
73	106918	0.325
73	106917	0.269
74	106917	0.434
74	106918	0.268
74	106903	0.217
74	120818	0.045
74	106916	0.035
75	106917	0.447
75	120818	0.234
75	106918	0.135
75	106916	0.131
75	106903	0.053
76	106903	0.323
76	1116503	0.244
76	1106903	0.159
76	116503	0.078
76	1116509	0.061
76	1120809	0.056
76	116518	0.036
76	1120803	0.016
76	120803	0.013
76	1106909	0.007
76	116509	0.007
77	106903	0.704
77	106918	0.136
77	120803	0.059
77	106917	0.043
77	1106903	0.03
77	116503	0.019
77	1116503	0.009
78	106917	0.474
78	106903	0.342
78	120803	0.076
78	120818	0.037
78	106918	0.03
78	1106903	0.028
78	120816	0.014
79	106917	0.727
79	106903	0.134
79	120818	0.094
79	120816	0.046
80	106917	0.77
80	120818	0.1
80	106903	0.084
80	120816	0.041
80	120803	0.006
81	1106903	0.416
81	106917	0.196
81	106912	0.169
81	106916	0.12
81	116516	0.05
81	1106918	0.031
81	1106916	0.017
82	1106903	0.34
82	106917	0.318
82	106918	0.119
82	106916	0.065
82	1106918	0.063
82	116516	0.057
82	116518	0.024
82	106912	0.015
83	106917	0.313
83	1106903	0.3
83	106918	0.214
83	106916	0.085
83	116518	0.069
83	116516	0.011
83	1106918	0.008
84	106917	0.295
84	1106903	0.274
84	106918	0.21
84	106916	0.11
84	116518	0.081
84	106903	0.031
85	106917	0.319
85	106918	0.236
85	1106903	0.2
85	116518	0.075
85	106916	0.062
85	106903	0.055
85	1106918	0.051
86	106903	0.404
86	106918	0.161
86	106917	0.141
86	1106903	0.127
86	1116503	0.035
86	116503	0.034
86	1106918	0.028
86	1106917	0.025
86	109918	0.02
86	1109918	0.015
86	1109917	0.006
86	109917	0.005
87	106903	0.427
87	1106903	0.209
87	106917	0.198
87	106918	0.066
87	109917	0.033
87	1116503	0.032
87	1109917	0.013
87	1106918	0.012
87	1106917	0.009
88	1106903	0.484
88	106917	0.215
88	106903	0.164
88	106918	0.08
88	109917	0.044
88	1109917	0.007
88	1116503	0.006
89	1106903	0.361
89	106917	0.283
89	106903	0.233
89	106918	0.067
89	1106918	0.022
89	106916	0.021
89	109917	0.013
90	106917	0.321
90	1106903	0.302
90	106903	0.264
90	106918	0.077
90	1106918	0.03
90	106913	0.006
91	106918	0.387
91	1106918	0.161
91	1106903	0.155
91	106916	0.058
91	1106913	0.053
91	116512	0.043
91	1116503	0.031
91	116503	0.028
91	106913	0.017
91	106903	0.016
91	90012	0.012
91	1090012	0.01
91	90018	0.008
91	116518	0.008
91	1109918	0.007
91	1106916	0.006
92	106918	0.466
92	1106918	0.18
92	1106903	0.092
92	1116503	0.032
92	106912	0.027
92	116503	0.025
92	106916	0.024
92	1106913	0.023
92	106903	0.023
92	116512	0.022
92	1116512	0.021
92	106913	0.02
92	90012	0.014
92	116518	0.01
92	90018	0.007
92	1116518	0.007
92	1106916	0.007
93	106918	0.523
93	1106918	0.149
93	106912	0.067
93	1106903	0.064
93	116518	0.031
93	106903	0.031
93	116503	0.022
93	1116512	0.018
93	116512	0.017
93	106916	0.017
93	106913	0.016
93	1106913	0.012
93	90018	0.009
93	1116518	0.009
93	1106916	0.008
93	109918	0.006
94	106918	0.643
94	106903	0.08
94	1106918	0.072
94	106916	0.034
94	106912	0.032
94	90018	0.03
94	116518	0.024
94	106913	0.021
94	1106903	0.017
94	116512	0.016
94	116503	0.016
94	1106916	0.009
94	109918	0.006
95	106918	0.631
95	106903	0.095
95	106916	0.091
95	90018	0.043
95	1106918	0.035
95	1106916	0.021
95	116512	0.012
95	106912	0.012
95	116518	0.012
95	116503	0.011
95	106913	0.011
95	90016	0.01
95	1106903	0.008
95	109918	0.008
96	106918	0.68
96	1106918	0.133
96	1106903	0.074
96	106903	0.032
96	106916	0.028
96	106913	0.018
96	1106916	0.014
97	106918	0.758
97	1106918	0.197
97	106913	0.027
97	106903	0.009
99	106918	0.848
99	1106918	0.137
99	106913	0.015
100	106918	0.888
100	106916	0.061
100	106903	0.027
100	1106918	0.025
101	106918	0.73
101	106917	0.104
101	106916	0.101
101	106912	0.066
102	106918	0.734
102	106912	0.12
102	106916	0.086
102	106903	0.06
103	106918	0.545
103	106916	0.281
103	106903	0.174
104	106918	0.706
104	106916	0.263
104	106903	0.031
105	106918	0.725
105	106916	0.275
106	106918	0.494
106	106916	0.099
106	1106918	0.095
106	1106903	0.063
106	116512	0.056
106	1106909	0.051
106	109916	0.038
106	116518	0.024
106	116516	0.023
106	116503	0.02
106	1116503	0.018
106	106903	0.013
106	109918	0.005
107	106918	0.722
107	106903	0.104
107	106916	0.066
107	1106918	0.027
107	116512	0.019
107	116518	0.017
107	106913	0.015
107	116503	0.013
107	1116518	0.007
107	1106903	0.005
107	120818	0.005
108	106918	0.718
108	106916	0.123
108	120818	0.062
108	106903	0.055
108	102118	0.028
108	1106918	0.014
109	106918	0.66
109	106916	0.112
109	120818	0.092
109	116518	0.067
109	102118	0.028
109	106903	0.027
109	102116	0.014
110	106918	0.559
110	106916	0.146
110	116518	0.111
110	120818	0.11
110	102116	0.043
110	106903	0.021
110	102118	0.01
111	1106912	0.206
111	116503	0.175
111	1116503	0.165
111	106912	0.134
111	106918	0.086
111	1106916	0.062
111	120812	0.055
111	116518	0.033
111	1106918	0.023
111	1106903	0.011
111	1106910	0.011
111	106903	0.009
111	120818	0.007
112	106903	0.227
112	120812	0.113
112	106917	0.11
112	106918	0.092
112	1106903	0.058
112	106912	0.042
112	1106918	0.03
112	116503	0.028
112	1106910	0.023
112	1106912	0.021
112	120818	0.015
112	1106917	0.013
112	106916	0.01
113	106918	0.22
113	106917	0.171
113	106903	0.162
113	106916	0.083
113	120812	0.08
